geo	age
GSM2334267	44
GSM2334305	44
GSM2334315	44
GSM2334330	44
GSM2334390	44
GSM2334491	44
GSM2334580	44
GSM2334603	44
GSM2334608	44
GSM2333932	45
GSM2333954	45
GSM2333955	45
GSM2333969	45
GSM2333977	45
GSM2333995	45
GSM2334165	45
GSM2334168	45
GSM2334253	45
GSM2334257	45
GSM2334279	45
GSM2334454	45
GSM2334481	45
GSM2334534	45
GSM2334548	45
GSM2334551	45
GSM2334552	45
GSM2334579	45
GSM2334617	45
GSM2334634	45
GSM2333934	46
GSM2334003	46
GSM2334070	46
GSM2334159	46
GSM2334227	46
GSM2334340	46
GSM2334375	46
GSM2334418	46
GSM2334441	46
GSM2334473	46
GSM2334010	47
GSM2334026	47
GSM2334056	47
GSM2334133	47
GSM2334187	47
GSM2334203	47
GSM2334256	47
GSM2334286	47
GSM2334304	47
GSM2334379	47
GSM2334411	47
GSM2334471	47
GSM2333947	48
GSM2334031	48
GSM2334038	48
GSM2334079	48
GSM2334124	48
GSM2334141	48
GSM2334144	48
GSM2334171	48
GSM2334218	48
GSM2334320	48
GSM2334360	48
GSM2334369	48
GSM2334374	48
GSM2334381	48
GSM2334407	48
GSM2334554	48
GSM2334587	48
GSM2333994	49
GSM2334028	49
GSM2334077	49
GSM2334130	49
GSM2334172	49
GSM2334185	49
GSM2334242	49
GSM2334254	49
GSM2334425	49
GSM2334432	49
GSM2334458	49
GSM2334555	49
GSM2334559	49
GSM2334564	49
GSM2333946	50
GSM2334017	50
GSM2334075	50
GSM2334119	50
GSM2334177	50
GSM2334183	50
GSM2334244	50
GSM2334277	50
GSM2334351	50
GSM2334353	50
GSM2334384	50
GSM2334512	50
GSM2334012	51
GSM2334205	51
GSM2334221	51
GSM2334246	51
GSM2334344	51
GSM2334346	51
GSM2334417	51
GSM2334424	51
GSM2334485	51
GSM2334616	51
GSM2334020	52
GSM2334198	52
GSM2334415	52
GSM2334629	52
GSM2334633	52
GSM2334013	53
GSM2334068	53
GSM2334108	53
GSM2334146	53
GSM2334264	53
GSM2334270	53
GSM2334299	53
GSM2334348	53
GSM2334385	53
GSM2334443	53
GSM2334533	53
GSM2334566	53
GSM2334610	53
GSM2334627	53
GSM2334232	54
GSM2334313	54
GSM2334365	54
GSM2334367	54
GSM2334482	54
GSM2334535	54
GSM2334537	54
GSM2334541	54
GSM2334632	54
GSM2333902	55
GSM2333914	55
GSM2333919	55
GSM2333943	55
GSM2334021	55
GSM2334041	55
GSM2334272	55
GSM2334273	55
GSM2334479	55
GSM2334561	55
GSM2334043	56
GSM2334096	56
GSM2334295	56
GSM2334343	56
GSM2334396	56
GSM2334410	56
GSM2334439	56
GSM2334449	56
GSM2334607	56
GSM2334623	56
GSM2333945	57
GSM2333953	57
GSM2334127	57
GSM2334287	57
GSM2334341	57
GSM2334435	57
GSM2334464	57
GSM2334542	57
GSM2333936	58
GSM2334115	58
GSM2334188	58
GSM2334395	58
GSM2334511	58
GSM2334525	58
GSM2334545	58
GSM2333916	59
GSM2333939	59
GSM2334086	59
GSM2334128	59
GSM2334140	59
GSM2334243	59
GSM2334355	59
GSM2334470	59
GSM2334573	59
GSM2334618	59
GSM2333918	60
GSM2334100	60
GSM2334359	60
GSM2334361	60
GSM2334402	60
GSM2334567	60
GSM2334029	61
GSM2334202	61
GSM2334214	61
GSM2334225	61
GSM2334238	61
GSM2334347	61
GSM2334492	61
GSM2334502	61
GSM2334523	61
GSM2333944	62
GSM2333967	62
GSM2334009	62
GSM2334179	62
GSM2334263	62
GSM2334288	62
GSM2334371	62
GSM2334466	62
GSM2334621	62
GSM2333920	63
GSM2333928	63
GSM2334044	63
GSM2334184	63
GSM2334252	63
GSM2334292	63
GSM2334303	63
GSM2334529	63
GSM2334536	63
GSM2334609	63
GSM2333930	64
GSM2334033	64
GSM2334051	64
GSM2334233	64
GSM2334483	64
GSM2334606	64
GSM2333913	65
GSM2333915	65
GSM2334047	65
GSM2334089	65
GSM2334111	65
GSM2334166	65
GSM2334284	65
GSM2334391	65
GSM2334400	65
GSM2334565	65
GSM2334605	65
GSM2333941	66
GSM2333960	66
GSM2334092	66
GSM2334162	66
GSM2334336	66
GSM2334438	66
GSM2334506	66
GSM2334571	66
GSM2334040	67
GSM2334076	67
GSM2334078	67
GSM2334170	67
GSM2334239	67
GSM2334302	67
GSM2334319	67
GSM2334352	67
GSM2334480	67
GSM2333922	68
GSM2333931	68
GSM2333968	68
GSM2333971	68
GSM2334007	68
GSM2334016	68
GSM2334123	68
GSM2334297	68
GSM2334333	68
GSM2334474	68
GSM2334595	68
GSM2334635	68
GSM2333937	69
GSM2333958	69
GSM2334050	69
GSM2334097	69
GSM2334122	69
GSM2334229	69
GSM2334268	69
GSM2334289	69
GSM2334308	69
GSM2334335	69
GSM2334345	69
GSM2334378	69
GSM2334405	69
GSM2334006	70
GSM2334129	70
GSM2334164	70
GSM2334261	70
GSM2334290	70
GSM2334301	70
GSM2334314	70
GSM2334404	70
GSM2334478	70
GSM2334499	70
GSM2334538	70
GSM2334568	70
GSM2334586	70
GSM2334598	70
GSM2334630	70
GSM2333942	71
GSM2334005	71
GSM2334065	71
GSM2334142	71
GSM2334161	71
GSM2334189	71
GSM2334193	71
GSM2334230	71
GSM2334318	71
GSM2334393	71
GSM2334442	71
GSM2334457	71
GSM2334496	71
GSM2334570	71
GSM2333901	72
GSM2334084	72
GSM2334091	72
GSM2334132	72
GSM2334224	72
GSM2334259	72
GSM2334373	72
GSM2334440	72
GSM2334517	72
GSM2334600	72
GSM2334631	72
GSM2334019	73
GSM2334088	73
GSM2334280	73
GSM2334461	73
GSM2334544	73
GSM2334596	73
GSM2334614	73
GSM2333905	74
GSM2333927	74
GSM2334032	74
GSM2334054	74
GSM2334258	74
GSM2334283	74
GSM2334416	74
GSM2334448	74
GSM2334507	74
GSM2334515	74
GSM2334594	74
GSM2334628	74
GSM2333925	75
GSM2334046	75
GSM2334278	75
GSM2334281	75
GSM2334296	75
GSM2334453	75
GSM2334562	75
GSM2334582	75
GSM2334601	75
GSM2333906	76
GSM2334037	76
GSM2334069	76
GSM2334087	76
GSM2334139	76
GSM2334311	76
GSM2334514	76
GSM2334048	77
GSM2334114	77
GSM2334163	77
GSM2334231	77
GSM2334389	77
GSM2334590	77
GSM2334592	77
GSM2334612	77
GSM2334223	78
GSM2334488	78
GSM2334501	78
GSM2333940	79
GSM2334004	79
GSM2334014	79
GSM2334064	79
GSM2334248	79
GSM2334276	79
GSM2334540	79
GSM2333917	80
GSM2333933	80
GSM2334030	80
GSM2334063	80
GSM2334125	80
GSM2334307	80
GSM2334409	80
GSM2334455	80
GSM2334503	80
GSM2334508	80
GSM2334546	80
GSM2334575	80
GSM2334622	80
GSM2333949	81
GSM2333950	81
GSM2333979	81
GSM2334101	81
GSM2334228	81
GSM2334266	81
GSM2334377	81
GSM2334406	81
GSM2334430	81
GSM2334520	81
GSM2334593	81
GSM2333935	82
GSM2333966	82
GSM2333991	82
GSM2334334	82
GSM2334581	82
GSM2334090	83
GSM2334093	83
GSM2334323	83
GSM2334516	83
GSM2334543	83
GSM2334095	84
GSM2334510	84
GSM2334613	84
GSM2334380	85
GSM2334547	85
GSM2333904	86
GSM2333911	86
GSM2334085	86
GSM2334620	86
GSM2334519	87
GSM2334588	87
GSM2334530	88
GSM2333951	91
GSM2334574	91
GSM2334366	94
GSM2334015	NA
GSM2334342	NA
GSM2334619	NA
