rownames,CD8T,CD4T,NK,Bcell,Mono,Gran,total
GSM2814050_9741779121_R03C01,0.21393412991338515,0.14120179670400962,0.06362040366800811,0.07830003846041628,0.10390441738047516,0.4305198509667403,1.0314806370930347
GSM2814051_9741779121_R04C01,0.19048256268937866,0.08189559820600048,0.10141529547457032,0.07550611481008643,0.09113702707510597,0.4923459243765071,1.032782522631649
GSM2814052_9741779121_R05C01,0.11278822784546005,0.07138833038395664,0.016238463217598847,0.07819741030874697,0.08629096337945652,0.659584720555784,1.024488115691003
GSM2814053_9741779121_R06C01,0.14219891033046692,0.07563396253121794,0.005635990867355478,0.07924838310611054,0.06411568893998991,0.6661962309194113,1.0330291666945521
GSM2814054_9741779121_R05C02,0.12889264609665185,0.12013386959077775,0.01506815593114405,0.07533223762279144,0.061461136921850214,0.6207063920367522,1.0215944381999675
GSM2814055_9741779121_R06C02,0.11718697380721263,0.07310968054630307,0.08052048191427127,0.07121941071163813,0.0855913672357801,0.6174104683599484,1.0450383825751537
GSM2814056_9741779033_R01C01,0.12727162911440176,0.2363326843349509,0.03353008466415928,0.0898350676877357,0.07814636816407726,0.4703375334186885,1.0354533673840134
GSM2814057_9741779033_R02C01,0.11810942029368261,0.19769642558872363,0.016642651583040537,0.08951481486464609,0.0836915885418052,0.5178299136040999,1.0234848144759978
GSM2814058_9741779033_R03C01,0.13820530490865038,0.2790293699439147,0.08090666828948784,0.1042096537145464,0.04868359726967899,0.37989703186229534,1.0309316259885737
GSM2814059_9741779033_R04C01,0.16459841341036252,0.3264597417655848,0.049324692993235074,0.10720395250124783,0.06656844964317084,0.3130372629777035,1.0271925132913047
GSM2814060_9741779033_R05C01,0.12915965226588497,0.10152346396098935,0.07636367607506936,0.1124017093186254,0.10352151997672472,0.5159764391949493,1.0389464607922432
GSM2814061_9741779033_R06C01,0.12346972791035096,0.10730655528535242,0.028584015866403814,0.07889820756599852,0.11428906156267991,0.5792957707588803,1.031843338949666
GSM2814062_9741779033_R03C02,0.13828540056611738,0.13993743824616148,0.12940147139098637,0.07020988380263081,0.07742020635991613,0.47906154921836624,1.0343159495841785
GSM2814063_9741779033_R04C02,0.12689996724242925,0.13506476524590097,0.021555082619608746,0.0615205947049154,0.048065614809486956,0.6247557100707801,1.0178617346931214
GSM2814064_9741779033_R05C02,0.11022335116935991,0.11034769466503558,0.005920458926035787,0.05661814331547013,0.054235162824210995,0.6846706683295656,1.022015479229678
GSM2814065_9741779033_R06C02,0.14350641324933003,0.1521218759348469,0.0,0.08253534848680892,0.045550873217645456,0.6059170665028976,1.029631577391529
GSM2814066_9741779137_R01C01,0.1502734838612681,0.10505938549832107,0.05889769545072753,0.08607362674502692,0.043457497323676285,0.5840786545718148,1.0278403434508347
GSM2814067_9741779137_R02C01,0.20054627670423059,0.21542859204353662,0.001410571453885906,0.11100409986241085,0.04260429773062969,0.45515939928587484,1.0261532370805686
GSM2814068_9741779137_R03C01,0.14334185578561404,0.2048543886955366,0.007417110352314581,0.050808695000660674,0.04159366618426388,0.5719115903216067,1.0199273063399965
GSM2814069_9741779137_R04C01,0.05256062913189287,0.039092403385941644,0.004091142286040138,0.026928683030507602,0.15151823861290922,0.7448630274924336,1.019054123939725
