variable,time,probability
"DMI+, CH+",0.0,1.0
"DMI+, CH+",0.0027397260273972603,0.8333333333333334
"DMI+, CH+",0.0136986301369863,0.75
"DMI+, CH+",0.019178082191780823,0.6666666666666666
"DMI+, CH+",0.03287671232876712,0.5833333333333333
"DMI+, CH+",0.12876712328767123,0.5
"DMI+, CH+",0.18082191780821918,0.4166666666666667
"DMI+, CH+",2.293150684931507,0.33333333333333337
"DMI+, CH+",2.9506849315068493,0.33333333333333337
"DMI+, CH+",3.263013698630137,0.33333333333333337
"DMI+, CH+",3.9013698630136986,0.33333333333333337
"DMI+, CH+",4.698630136986301,0.33333333333333337
"DMI+, CH-",0.0,1.0
"DMI+, CH-",0.0136986301369863,0.95
"DMI+, CH-",0.019178082191780823,0.9
"DMI+, CH-",0.030136986301369864,0.85
"DMI+, CH-",0.03287671232876712,0.7999999999999999
"DMI+, CH-",0.12054794520547946,0.7499999999999999
"DMI+, CH-",0.16986301369863013,0.7
"DMI+, CH-",0.3178082191780822,0.65
"DMI+, CH-",0.6,0.65
"DMI+, CH-",0.9780821917808219,0.5958333333333333
"DMI+, CH-",1.1315068493150684,0.5416666666666666
"DMI+, CH-",1.2684931506849315,0.5416666666666666
"DMI+, CH-",2.4328767123287673,0.5416666666666666
"DMI+, CH-",2.506849315068493,0.5416666666666666
"DMI+, CH-",2.904109589041096,0.4642857142857143
"DMI+, CH-",3.1095890410958904,0.4642857142857143
"DMI+, CH-",3.16986301369863,0.4642857142857143
"DMI+, CH-",4.4082191780821915,0.4642857142857143
"DMI+, CH-",4.449315068493151,0.4642857142857143
"DMI+, CH-",5.019178082191781,0.4642857142857143
"DMI+, CH-",5.4301369863013695,0.4642857142857143
"DMI-, CH+",0.0,1.0
"DMI-, CH+",0.03561643835616438,1.0
"DMI-, CH+",0.11506849315068493,0.9375
"DMI-, CH+",0.14246575342465753,0.875
"DMI-, CH+",0.19452054794520549,0.8125
"DMI-, CH+",0.9561643835616438,0.8125
"DMI-, CH+",1.3123287671232877,0.8125
"DMI-, CH+",1.484931506849315,0.8125
"DMI-, CH+",1.9342465753424658,0.8125
"DMI-, CH+",2.8438356164383563,0.7222222222222222
"DMI-, CH+",3.1671232876712327,0.7222222222222222
"DMI-, CH+",3.904109589041096,0.7222222222222222
"DMI-, CH+",4.358904109589041,0.7222222222222222
"DMI-, CH+",4.953424657534247,0.7222222222222222
"DMI-, CH+",5.767123287671233,0.7222222222222222
"DMI-, CH+",6.221917808219178,0.7222222222222222
"DMI-, CH+",6.235616438356164,0.7222222222222222
"DMI-, CH+",6.413698630136986,0.7222222222222222
"DMI-, CH-",0.0,1.0
"DMI-, CH-",0.0958904109589041,1.0
"DMI-, CH-",0.1095890410958904,0.9285714285714286
"DMI-, CH-",0.8904109589041096,0.8571428571428572
"DMI-, CH-",1.2082191780821918,0.8571428571428572
"DMI-, CH-",1.9726027397260273,0.8571428571428572
"DMI-, CH-",2.1095890410958904,0.8571428571428572
"DMI-, CH-",2.978082191780822,0.8571428571428572
"DMI-, CH-",3.0493150684931507,0.8571428571428572
"DMI-, CH-",3.073972602739726,0.8571428571428572
"DMI-, CH-",3.3863013698630136,0.8571428571428572
"DMI-, CH-",4.1068493150684935,0.8571428571428572
"DMI-, CH-",4.252054794520548,0.8571428571428572
"DMI-, CH-",4.723287671232876,0.8571428571428572
"DMI-, CH-",6.441095890410959,0.8571428571428572
"DMI-, CH-",7.66027397260274,0.8571428571428572
