variable,time,probability
Low DMI,0.0,1.0
Low DMI,0.03561643835616438,1.0
Low DMI,0.0958904109589041,1.0
Low DMI,0.1095890410958904,0.9666666666666667
Low DMI,0.11506849315068493,0.9333333333333333
Low DMI,0.14246575342465753,0.9
Low DMI,0.19452054794520549,0.8666666666666667
Low DMI,0.8904109589041096,0.8333333333333334
Low DMI,0.9561643835616438,0.8333333333333334
Low DMI,1.2082191780821918,0.8333333333333334
Low DMI,1.3123287671232877,0.8333333333333334
Low DMI,1.484931506849315,0.8333333333333334
Low DMI,1.9342465753424658,0.8333333333333334
Low DMI,1.9726027397260273,0.8333333333333334
Low DMI,2.1095890410958904,0.8333333333333334
Low DMI,2.8438356164383563,0.7870370370370371
Low DMI,2.978082191780822,0.7870370370370371
Low DMI,3.0493150684931507,0.7870370370370371
Low DMI,3.073972602739726,0.7870370370370371
Low DMI,3.1671232876712327,0.7870370370370371
Low DMI,3.3863013698630136,0.7870370370370371
Low DMI,3.904109589041096,0.7870370370370371
Low DMI,4.1068493150684935,0.7870370370370371
Low DMI,4.252054794520548,0.7870370370370371
Low DMI,4.358904109589041,0.7870370370370371
Low DMI,4.723287671232876,0.7870370370370371
Low DMI,4.953424657534247,0.7870370370370371
Low DMI,5.767123287671233,0.7870370370370371
Low DMI,6.221917808219178,0.7870370370370371
Low DMI,6.235616438356164,0.7870370370370371
Low DMI,6.413698630136986,0.7870370370370371
Low DMI,6.441095890410959,0.7870370370370371
Low DMI,7.66027397260274,0.7870370370370371
High DMI,0.0,1.0
High DMI,0.0027397260273972603,0.9375
High DMI,0.0136986301369863,0.875
High DMI,0.019178082191780823,0.8125
High DMI,0.030136986301369864,0.78125
High DMI,0.03287671232876712,0.71875
High DMI,0.12054794520547946,0.6875
High DMI,0.12876712328767123,0.65625
High DMI,0.16986301369863013,0.625
High DMI,0.18082191780821918,0.59375
High DMI,0.3178082191780822,0.5625
High DMI,0.6,0.5625
High DMI,0.9780821917808219,0.5294117647058824
High DMI,1.1315068493150684,0.4963235294117647
High DMI,1.2684931506849315,0.4963235294117647
High DMI,2.293150684931507,0.4608718487394958
High DMI,2.4328767123287673,0.4608718487394958
High DMI,2.506849315068493,0.4608718487394958
High DMI,2.904109589041096,0.4189744079449962
High DMI,2.9506849315068493,0.4189744079449962
High DMI,3.1095890410958904,0.4189744079449962
High DMI,3.16986301369863,0.4189744079449962
High DMI,3.263013698630137,0.4189744079449962
High DMI,3.9013698630136986,0.4189744079449962
High DMI,4.4082191780821915,0.4189744079449962
High DMI,4.449315068493151,0.4189744079449962
High DMI,4.698630136986301,0.4189744079449962
High DMI,5.019178082191781,0.4189744079449962
High DMI,5.4301369863013695,0.4189744079449962
