Age Category,DMI
15,0.0074324759856358716
20,0.007981939295040076
25,0.008922310621418848
30,0.008379044825631019
35,0.008072876511702996
40,0.00860637462758979
45,0.009688240584503073
50,0.00984168540079961
55,0.010453423897496298
60,0.012914052484938043
65,0.011432203862443998
70,0.010639284237172981
