variable,time,probability
CH-,0.0,1.0
CH-,0.0136986301369863,0.9714285714285714
CH-,0.019178082191780823,0.9428571428571428
CH-,0.030136986301369864,0.9142857142857143
CH-,0.03287671232876712,0.8857142857142857
CH-,0.0958904109589041,0.8857142857142857
CH-,0.1095890410958904,0.8561904761904762
CH-,0.12054794520547946,0.8266666666666667
CH-,0.16986301369863013,0.7971428571428572
CH-,0.3178082191780822,0.7676190476190476
CH-,0.6,0.7676190476190476
CH-,0.8904109589041096,0.7369142857142857
CH-,0.9780821917808219,0.7062095238095238
CH-,1.1315068493150684,0.6755047619047619
CH-,1.2082191780821918,0.6755047619047619
CH-,1.2684931506849315,0.6755047619047619
CH-,1.9726027397260273,0.6755047619047619
CH-,2.1095890410958904,0.6755047619047619
CH-,2.4328767123287673,0.6755047619047619
CH-,2.506849315068493,0.6755047619047619
CH-,2.904109589041096,0.6332857142857143
CH-,2.978082191780822,0.6332857142857143
CH-,3.0493150684931507,0.6332857142857143
CH-,3.073972602739726,0.6332857142857143
CH-,3.1095890410958904,0.6332857142857143
CH-,3.16986301369863,0.6332857142857143
CH-,3.3863013698630136,0.6332857142857143
CH-,4.1068493150684935,0.6332857142857143
CH-,4.252054794520548,0.6332857142857143
CH-,4.4082191780821915,0.6332857142857143
CH-,4.449315068493151,0.6332857142857143
CH-,4.723287671232876,0.6332857142857143
CH-,5.019178082191781,0.6332857142857143
CH-,5.4301369863013695,0.6332857142857143
CH-,6.441095890410959,0.6332857142857143
CH-,7.66027397260274,0.6332857142857143
CH+,0.0,1.0
CH+,0.0027397260273972603,0.9310344827586207
CH+,0.0136986301369863,0.896551724137931
CH+,0.019178082191780823,0.8620689655172414
CH+,0.03287671232876712,0.8275862068965517
CH+,0.03561643835616438,0.8275862068965517
CH+,0.11506849315068493,0.7916041979010495
CH+,0.12876712328767123,0.7556221889055473
CH+,0.14246575342465753,0.719640179910045
CH+,0.18082191780821918,0.6836581709145427
CH+,0.19452054794520549,0.6476761619190405
CH+,0.9561643835616438,0.6476761619190405
CH+,1.3123287671232877,0.6476761619190405
CH+,1.484931506849315,0.6476761619190405
CH+,1.9342465753424658,0.6476761619190405
CH+,2.293150684931507,0.6014135789248234
CH+,2.8438356164383563,0.5551509959306062
CH+,2.9506849315068493,0.5551509959306062
CH+,3.1671232876712327,0.5551509959306062
CH+,3.263013698630137,0.5551509959306062
CH+,3.9013698630136986,0.5551509959306062
CH+,3.904109589041096,0.5551509959306062
CH+,4.358904109589041,0.5551509959306062
CH+,4.698630136986301,0.5551509959306062
CH+,4.953424657534247,0.5551509959306062
CH+,5.767123287671233,0.5551509959306062
CH+,6.221917808219178,0.5551509959306062
CH+,6.235616438356164,0.5551509959306062
CH+,6.413698630136986,0.5551509959306062
