gene,mean_recurrence,meth_vs_exp_R_mean,meth_vs_exp_maxPvalue,age_vs_exp_R,age_vs_exp_Pvalue
ELOVL3,0.2141437562106657,-0.2057640285108176,1.0395469904780278e-69,-0.2370914728821753,2.840457021184696e-07
DCBLD2,0.2107485922490891,-0.2991486074206095,6.879833821667491e-173,-0.2905109471497893,2.576020046492411e-12
ST6GALNAC3,0.2090096058297449,-0.2631329825605837,3.3139075533003994e-124,-0.2842005659766385,1.1656878193432028e-11
TM6SF1,0.2037098376946008,-0.2783555881341084,4.480021354538426e-153,-0.3064978897763058,4.730674908402647e-14
SH3RF3,0.2032957933090427,-0.2133789149824448,5.09109130098153e-71,-0.2650853718737399,8.972797383871881e-10
PANX2,0.2015568068896985,-0.1543734676071901,2.8592792841266833e-31,-0.274769324334446,1.0371406546562225e-10
LTBP2,0.1881417687976151,-0.1029316037879528,1.3017365426977285e-18,-0.1755646976783456,0.0082629676923848
NETO2,0.1880589599205034,-0.2677344354919669,3.9526844735196444e-117,-0.2542902169119945,8.983166540762893e-09
CHFR,0.1849950314673733,-0.5330522438707783,0.0,-0.2064344699889291,7.071740634902654e-05
ALPL,0.1842773545324058,-0.1979319198563351,6.022929381298347e-75,-0.2620299527190259,1.740965229300654e-09
SAMHD1,0.1833388539251407,-0.1159646726430298,2.151931696910236e-23,-0.2091849370313683,4.4538236589197214e-05
ZNF879,0.1825107651540245,-0.6140156331439527,0.0,-0.1890155346416455,0.0011423491555465
COL24A1,0.1805233521033454,-0.0680577636594553,9.925170731732344e-07,-0.1730328379696983,0.0117983660740301
CHST13,0.1805233521033454,-0.1084593704913816,6.216263020944865e-21,-0.1820699969031786,0.0032318821740571
MRPS22,0.1798608810864524,-0.1204320383837411,2.240433792986192e-26,-0.2787518404112976,4.1633335944283217e-11
ADM2,0.1788671745611129,-0.2086273445824948,9.261882531245168e-85,-0.3025699852447593,1.2928327684304292e-13
SHOX2,0.1762172904935409,-0.1118829349572813,1.9717835620438345e-22,-0.2073494666317108,6.067840511636317e-05
DUSP23,0.1755548194766479,-0.3628541890536543,4.7340461470979195e-273,-0.2520707507444315,1.4237769357493611e-08
KCNQ1,0.1737330241801921,-0.1226554022932603,8.043481244827803e-25,-0.2823351112237335,1.808162050093997e-11
CEBPD,0.1727393176548526,-0.1699928544396282,3.827152194952379e-45,-0.2111814503909411,3.1714123406017584e-05
MSRB3,0.1722424643921828,-0.0891765502686817,2.31007194506594e-13,-0.2072791513937655,6.139806942984958e-05
SMAD9,0.1715799933752898,-0.080412965233026,2.0924760675419958e-10,-0.1835787580987222,0.0025869472187812
LRRK2,0.1712487578668433,-0.2705895858039211,3.2278010961192697e-146,-0.2818790090140848,2.0120282905072536e-11
ADPRH,0.1689301093077178,-0.3343684741345264,3.755352751779946e-221,-0.2117668812675396,2.8690043270849148e-05
