"sentrix"	"sex"
"9297953080_R05C01"	"M"
"9297953080_R05C02"	"F"
"9297953080_R06C01"	"F"
"9305651092_R01C02"	"F"
"9305651092_R02C01"	"M"
"9305651092_R02C02"	"M"
"9305651092_R03C01"	"M"
"9305651092_R03C02"	"F"
"9305651092_R04C01"	"F"
"9305651092_R05C01"	"M"
"9305651092_R05C02"	"M"
"9305651092_R06C01"	"F"
"9305651092_R06C02"	"F"
"9305651124_R01C02"	"M"
"9305651124_R02C01"	"F"
"9305651124_R03C01"	"M"
"9305651124_R03C02"	"F"
"9305651124_R04C01"	"F"
"9305651124_R05C02"	"F"
"9305651124_R06C01"	"M"
"9305651124_R06C02"	"M"
"9305651125_R01C02"	"M"
"9305651125_R02C01"	"F"
"9305651125_R02C02"	"M"
"9305651125_R03C01"	"M"
"9305651125_R03C02"	"M"
"9305651125_R04C01"	"M"
"9305651125_R04C02"	"M"
"9305651125_R05C01"	"M"
"9305651125_R05C02"	"M"
"9305651125_R06C01"	"M"
"9305651125_R06C02"	"M"
"9305651126_R01C01"	"M"
"9305651126_R01C02"	"F"
"9305651126_R02C01"	"M"
"9305651126_R02C02"	"M"
"9305651126_R03C01"	"M"
"9305651126_R03C02"	"M"
"9305651126_R04C01"	"F"
"9305651126_R04C02"	"M"
"9305651126_R05C01"	"F"
"9305651126_R05C02"	"F"
"9305651126_R06C01"	"M"
"9305651126_R06C02"	"F"
"9305651135_R01C01"	"M"
"9305651135_R01C02"	"F"
"9305651135_R02C01"	"M"
"9305651135_R02C02"	"M"
"9305651135_R03C01"	"M"
"9305651135_R03C02"	"F"
"9305651135_R04C01"	"M"
"9305651135_R04C02"	"M"
"9305651135_R05C01"	"F"
"9305651135_R05C02"	"F"
"9305651135_R06C01"	"M"
"9305651135_R06C02"	"F"
"9305651154_R01C01"	"F"
"9305651154_R01C02"	"F"
"9305651154_R02C01"	"F"
"9305651154_R02C02"	"F"
"9305651154_R03C01"	"M"
"9305651154_R03C02"	"M"
"9305651154_R04C01"	"M"
"9305651154_R04C02"	"F"
"9305651154_R05C01"	"M"
"9305651154_R05C02"	"M"
"9305651154_R06C01"	"M"
"9305651154_R06C02"	"M"
"9305651171_R01C01"	"F"
"9305651171_R01C02"	"M"
"9305651171_R02C01"	"M"
"9305651171_R02C02"	"M"
"9305651171_R03C01"	"F"
"9305651171_R03C02"	"M"
"9305651171_R04C01"	"F"
"9305651171_R04C02"	"M"
"9305651171_R05C01"	"M"
"9305651171_R05C02"	"F"
"9305651171_R06C01"	"F"
"9305651171_R06C02"	"M"
"9305651175_R01C01"	"M"
"9305651175_R01C02"	"F"
"9305651175_R02C01"	"F"
"9305651175_R02C02"	"M"
"9305651175_R03C01"	"F"
"9305651175_R03C02"	"M"
"9305651175_R04C01"	"F"
"9305651175_R04C02"	"M"
"9305651175_R05C01"	"F"
"9305651175_R05C02"	"F"
"9305651175_R06C01"	"M"
"9305651175_R06C02"	"F"
"9305651205_R01C01"	"M"
"9305651205_R01C02"	"M"
"9305651205_R02C01"	"F"
"9305651205_R02C02"	"F"
"9305651205_R03C01"	"F"
"9305651205_R03C02"	"M"
"9305651205_R04C01"	"F"
"9305651205_R04C02"	"M"
"9305651205_R05C01"	"F"
"9305651205_R05C02"	"F"
"9305651205_R06C02"	"M"
