geo,age
GSM5927821,43.06849315
GSM5927779,43.13972603
GSM5927949,43.15450258
GSM5927952,43.23736058
GSM5927850,43.32328767
GSM5928006,43.3715847
GSM5927987,43.56781945
GSM5927981,43.60821918
GSM5927885,43.74246575
GSM5927920,43.75890411
GSM5927900,43.98356164
GSM5927980,44.16438356
GSM5927930,44.26575343
GSM5927921,44.3260274
GSM5927944,44.35890411
GSM5927865,44.36712329
GSM5927783,44.43013699
GSM5927800,44.5369863
GSM5927941,44.76986301
GSM5927965,45.00547945
GSM5927789,45.0739726
GSM5927911,45.55616438
GSM5927877,45.61369863
GSM5927880,45.87112059
GSM5928007,46.16430871
GSM5927781,46.56712329
GSM5927822,46.83287671
GSM5928014,46.83812411
GSM5928032,47.0241036
GSM5927852,47.70684932
GSM5928000,47.80327869
GSM5927985,48.59452055
GSM5927787,48.67945206
GSM5927807,48.75342466
GSM5927938,48.86027397
GSM5927805,48.89041096
GSM5927851,49.25479452
GSM5927976,49.68493151
GSM5927926,49.88219178
GSM5927782,50.10543454
GSM5927864,50.23013699
GSM5927907,50.26003443
GSM5927934,51.02015121
GSM5927966,51.46587319
GSM5928009,51.65027322
GSM5927811,51.76438356
GSM5927813,51.86849315
GSM5928029,52.50637772
GSM5928059,53.55890411
GSM5928039,53.66222771
GSM5927967,53.82465753
GSM5928024,54.28456471
GSM5928017,54.28466951
GSM5927796,55.22191781
GSM5927816,55.56986301
GSM5927801,56.17808219
GSM5927778,56.28767123
GSM5927922,56.29589041
GSM5928038,56.33900741
GSM5927889,56.38630137
GSM5927913,57.92328767
GSM5927791,59.63013699
GSM5927820,60.26849315
GSM5927786,62.64931507
GSM5928049,63.54098361
GSM5927804,65.88601692
GSM5927802,70.19018639
